52713	1	29988	210
44518	1	44514	228
45352	3	40936	129
50206	4	13881	21
7821	0	17122	182
36183	1	40033	213
15867	0	3426	84
7072	5	7071	27
48859	5	48891	226
18047	5	18086	168
46742	1	32232	96
4753	0	21914	147
15677	5	15676	67
18601	3	49185	228
47288	9	55246	237
29786	5	29785	88
33721	0	33670	154
23864	10	41030	224
44709	6	44713	229
18260	5	18259	6
20982	3	38993	210
23942	5	24162	112
8619	0	8414	152
17035	0	16914	102
31898	0	31888	67
49589	5	22427	193
7383	5	7382	210
25764	0	25726	161
31477	5	31476	67
712	2	706	103
55898	0	546	223
45208	9	1157	89
16775	3	24952	59
59976	0	27006	217
25070	0	25049	123
52103	5	52110	187
34167	5	34166	200
31585	0	31592	206
60357	0	60361	143
46309	0	7297	208
31372	0	31370	133
40755	0	50993	141
26147	5	26146	70
2604	5	2603	196
27503	0	27504	216
39862	4	50742	228
9781	9	43644	222
24865	0	24860	189
50523	1	50524	9
17788	0	39890	144
58248	0	50506	217
58479	0	45414	196
6419	10	17282	129
47881	1	47882	220
47404	2	47407	213
45314	1	45048	233
4288	5	4287	67
51397	1	29746	178
10610	0	10605	210
36145	0	36177	182
20033	0	37566	210
45819	5	34701	210
50985	0	50778	207
57523	5	1403	179
30322	5	30321	147
5441	5	5440	98
2783	5	5192	70
51409	0	28026	239
24517	1	23518	212
20046	0	29988	214
24465	0	24461	84
17551	0	26544	193
35799	0	35800	20
40465	3	50758	233
5745	5	5752	182
26356	0	26335	77
60851	5	60850	16
7102	5	7101	6
45514	0	54026	228
50205	0	36488	21
7913	5	7912	179
23876	1	27978	203
5843	1	5824	159
3554	5	3553	81
24122	9	24129	210
31523	0	25820	206
9692	5	9691	27
22425	5	24636	109
20915	0	20913	210
23893	3	23896	201
12423	0	39459	208
39932	8	31700	102
1246	5	1245	151
4384	1	30715	207
50318	10	50330	14
29211	0	29200	91
57961	8	36562	129
43279	1	43285	220
16360	0	16354	123
53691	0	32255	221
2504	5	2503	172
47288	3	4654	89
18483	10	58395	125
46441	1	50711	206
1252	5	22294	46
51732	0	51733	137
49273	5	1854	70
31803	0	42967	35
22625	5	22624	133
23090	5	23089	102
1223	0	55412	229
13800	0	35982	200
34374	5	34373	84
25030	0	24987	56
57457	5	59260	13
1344	5	1343	186
55749	1	55294	207
6589	5	13862	116
41991	0	38395	228
14117	5	14116	119
28099	0	28076	91
44879	0	49825	233
39527	1	27617	232
37647	1	4458	125
36671	3	6989	190
54807	0	13115	231
23500	9	48540	222
25405	4	46321	205
4143	0	4077	161
5044	0	44054	225
27484	5	27483	20
