1893	10	1793	440
1352	10	1920	514
1149	3	1249	551
388	3	57	535
1293	6	1668	549
315	3	182	509
1302	6	696	482
1691	3	1954	415
808	6	905	504
152	10	1772	299
1395	3	683	469
108	10	619	349
1719	10	939	549
1620	6	453	549
286	2	103	554
808	3	1235	547
1907	6	324	509
1050	10	1773	551
1808	6	425	553
1017	10	1129	509
184	10	146	417
1290	10	1894	461
1982	10	295	153
121	10	1594	550
1467	10	741	520
576	7	175	544
1663	10	1492	459
182	3	117	420
265	10	429	113
1124	10	1621	399
1431	2	379	394
698	10	1554	435
450	6	1685	553
193	10	1401	500
1785	10	556	506
459	10	1030	549
910	10	899	404
1194	3	636	389
1929	0	1593	428
1502	2	603	470
1812	3	1113	535
10	11	101	544
130	10	1219	551
1479	3	1308	416
174	10	1913	545
390	7	949	488
576	4	444	545
636	3	1225	410
144	10	916	548
1963	6	775	550
1397	0	118	552
1679	6	965	502
1586	6	696	482
1015	10	1126	186
450	1	1058	549
1391	11	450	553
235	10	63	538
1921	10	771	348
404	3	184	137
1392	2	178	510
1856	3	1117	500
1505	10	63	550
1130	1	1670	497
450	11	1781	549
859	10	1562	547
756	10	866	456
341	10	286	519
1476	10	870	548
694	10	901	505
1376	6	556	527
130	9	130	436
1861	3	404	552
231	1	910	431
1277	10	1929	502
109	3	785	551
835	1	1599	506
865	10	168	382
605	0	100	500
286	2	1280	476
1738	11	1501	503
293	1	1381	447
1168	3	1861	508
1727	10	1935	549
1244	10	25	428
260	11	1262	541
206	2	927	468
596	2	1362	508
581	3	1227	214
925	3	1262	487
1376	10	401	552
1380	9	1796	508
1083	10	1072	528
865	11	1061	535
1586	6	940	6
782	0	613	518
1212	10	35	487
1314	5	193	551
231	10	1554	431
260	3	1491	534
1856	10	1094	313
794	3	1124	549
131	10	1137	487
1279	10	647	535
737	11	957	533
117	10	1371	432
1234	3	341	552
626	10	279	436
1276	11	843	464
14	10	295	452
1124	3	4	549
999	6	1219	551
451	2	1760	550
1060	2	602	550
984	10	1706	532
450	6	1760	493
1290	10	1675	547
1762	0	905	425
1880	10	1214	536
1476	6	681	405
727	10	927	551
1813	11	1974	552
